DATE,CPIMonthly,UNRATE,Inflation,GDP_CHANGE
2015-06-01,237.657,5.3,,
2015-07-01,238.03400000000002,5.2,0.10950339999999999,1.3
2015-08-01,238.033,5.1,,
2015-09-01,237.498,5.0,,
2015-10-01,237.733,5.0,0.4662646,0.1
2015-11-01,238.017,5.1,,
2015-12-01,237.761,5.0,,
2016-01-01,237.827,4.9,1.080267,2.0
2016-02-01,237.514,4.9,,
2016-03-01,237.99,5.0,,
2016-04-01,238.835,5.0,1.0470629999999999,1.9
2016-05-01,239.44,4.8,,
2016-06-01,240.144,4.9,,
2016-07-01,240.111,4.8,1.117615,2.2
2016-08-01,240.595,4.9,,
2016-09-01,241.06799999999998,5.0,,
2016-10-01,241.641,4.9,1.8006209999999998,2.0
2016-11-01,241.993,4.7,,
2016-12-01,242.71200000000002,4.7,,
2017-01-01,243.717,4.7,2.53932,2.3
2017-02-01,244.028,4.6,,
2017-03-01,243.72099999999998,4.4,,
2017-04-01,244.058,4.4,1.901991,2.2
2017-05-01,243.926,4.4,,
2017-06-01,244.179,4.3,,
2017-07-01,244.328,4.3,1.966925,3.2
2017-08-01,245.304,4.4,,
2017-09-01,246.445,4.2,,
2017-10-01,246.57,4.1,2.1175580000000003,3.5
2017-11-01,247.333,4.2,,
2017-12-01,247.847,4.1,,
2018-01-01,248.81599999999997,4.1,2.214195,2.5
2018-02-01,249.475,4.1,,
2018-03-01,249.41299999999998,4.0,,
2018-04-01,249.957,4.0,2.711887,3.5
2018-05-01,250.64,3.8,,
2018-06-01,251.176,4.0,,
2018-07-01,251.482,3.8,2.64094,2.9
2018-08-01,251.905,3.8,,
2018-09-01,252.261,3.7,,
2018-10-01,252.77700000000002,3.8,2.203131,1.1
2018-11-01,252.662,3.7,,
2018-12-01,252.653,3.9,,
2019-01-01,252.55,4.0,1.644936,3.1
2019-02-01,253.18099999999998,3.8,,
2019-03-01,254.095,3.8,,
2019-04-01,254.94299999999998,3.6,1.8113759999999999,2.0
2019-05-01,255.167,3.6,,
2019-06-01,255.40200000000002,3.7,,
2019-07-01,256.087,3.7,1.7574880000000002,2.1
2019-08-01,256.29400000000004,3.7,,
2019-09-01,256.593,3.5,,
2019-10-01,257.22900000000004,3.6,,2.1
2019-11-01,257.824,3.5,,
2019-12-01,258.444,3.5,,
2020-01-01,258.82,,,
